Date,Branch,Product_Type,Channel,Customer_Segment,New_Accounts,Closures,Transactions,Revenue,Avg_Balance,Customer_Complaints,Cost_per_Account,Total_Cost,NPA_%,Churn_Rate_%
1/1/2022,T Nagar,Savings,Mobile App,Retail,1,0,35,1147.49,416345.96,0,102,102,0,0
1/1/2022,T Nagar,Current,Branch Visit,Corporate,3,0,28,1007.04,428857.85,0,772,2316,0,0
1/1/2022,T Nagar,FD,Internet Banking,Corporate,0,0,32,3106.25,386804.49,0,662,0,0,0
1/1/2022,T Nagar,RD,Branch Visit,Retail,7,0,18,1490.96,141261.38,0,355,2485,0,0
1/1/2022,T Nagar,Loan,Mobile App,SME,3,1,27,677.91,224841.99,1,198,594,4.96,25
1/1/2022,Anna Nagar,Savings,Internet Banking,SME,2,1,27,792.49,67820.42,1,126,252,0,33.33
1/1/2022,Anna Nagar,Current,Branch Visit,Retail,5,1,21,423,386056.8,0,240,1200,0,16.67
1/1/2022,Anna Nagar,FD,Internet Banking,Corporate,1,1,21,1330.1,401950.92,0,645,645,0,50
1/1/2022,Anna Nagar,RD,Mobile App,Retail,0,0,22,866.94,258406,0,747,0,0,0
1/1/2022,Anna Nagar,Loan,Mobile App,Corporate,3,0,16,519.42,343396.85,1,122,366,5.28,0
1/1/2022,Velachery,Savings,Mobile App,Corporate,2,1,26,912.31,215769.1,0,859,1718,0,33.33
1/1/2022,Velachery,Current,Internet Banking,SME,6,0,26,802.31,54081,1,213,1278,0,0
1/1/2022,Velachery,FD,Mobile App,Corporate,5,0,23,1861.18,441768.7,0,629,3145,0,0
1/1/2022,Velachery,RD,Mobile App,Retail,5,1,20,1202.01,274430.31,0,334,1670,0,16.67
1/1/2022,Velachery,Loan,Branch Visit,SME,0,0,35,3217.64,411547,1,712,0,5.18,0
1/1/2022,Adyar,Savings,Mobile App,Corporate,5,0,24,1427.32,388696.5,0,657,3285,0,0
1/1/2022,Adyar,Current,Branch Visit,Retail,4,1,22,1979.01,158860.64,1,140,560,0,20
1/1/2022,Adyar,FD,Mobile App,Retail,1,0,31,1925.56,255587.56,1,955,955,0,0
1/1/2022,Adyar,RD,Internet Banking,Retail,3,1,29,1453.49,33641.38,0,183,549,0,25
1/1/2022,Adyar,Loan,Branch Visit,Corporate,2,0,24,2240.99,491075.91,1,767,1534,0.61,0
1/1/2022,Tambaram,Savings,Mobile App,Corporate,4,0,18,1451.87,26022.8,1,843,3372,0,0
1/1/2022,Tambaram,Current,Branch Visit,Corporate,3,0,21,1495.78,137986.18,0,697,2091,0,0
1/1/2022,Tambaram,FD,Mobile App,SME,5,1,17,1595.45,340821.95,0,218,1090,0,16.67
1/1/2022,Tambaram,RD,Branch Visit,Retail,1,0,23,1763.28,169521.44,0,847,847,0,0
1/1/2022,Tambaram,Loan,Internet Banking,Corporate,5,0,24,1874.64,324066.61,0,405,2025,4.42,0
1/1/2022,Guindy,Savings,Mobile App,SME,5,2,29,514.15,54349.93,0,342,1710,0,33.33
1/1/2022,Guindy,Current,Internet Banking,SME,3,0,36,1695.42,254991.74,1,789,2367,0,0
1/1/2022,Guindy,FD,Internet Banking,SME,2,1,24,1322.05,312716.69,0,845,1690,0,33.33
1/1/2022,Guindy,RD,Mobile App,Retail,5,0,25,594.69,105007.48,0,736,3680,0,0
1/1/2022,Guindy,Loan,Mobile App,Corporate,1,0,20,970.78,117739.28,0,429,429,4.43,0
1/1/2022,Nungambakkam,Savings,Branch Visit,SME,3,1,19,378.62,218326.4,0,728,2184,0,25
1/1/2022,Nungambakkam,Current,Mobile App,Retail,2,0,28,1881.79,423234.23,0,696,1392,0,0
1/1/2022,Nungambakkam,FD,Mobile App,SME,4,0,32,2493.61,97162.19,1,157,628,0,0
1/1/2022,Nungambakkam,RD,Internet Banking,Corporate,4,1,20,957.93,74034.63,0,748,2992,0,20
1/1/2022,Nungambakkam,Loan,Mobile App,Corporate,0,0,28,1095.16,234286.65,1,270,0,3.29,0
1/2/2022,T Nagar,Savings,Internet Banking,Retail,3,0,19,1885.51,219936.51,0,418,1254,0,0
1/2/2022,T Nagar,Current,Internet Banking,SME,2,1,22,1794.94,79578.25,2,510,1020,0,33.33
1/2/2022,T Nagar,FD,Internet Banking,SME,3,0,22,587.78,274810.59,0,294,882,0,0
1/2/2022,T Nagar,RD,Internet Banking,Corporate,4,1,22,619.28,86151.91,0,186,744,0,20
1/2/2022,T Nagar,Loan,Mobile App,SME,2,0,29,1407.77,107789.66,0,351,702,2.14,0
1/2/2022,Anna Nagar,Savings,Branch Visit,Corporate,8,0,27,1516.81,420077.1,0,693,5544,0,0
1/2/2022,Anna Nagar,Current,Internet Banking,Retail,0,0,20,1366.92,210180.01,0,957,0,0,0
1/2/2022,Anna Nagar,FD,Mobile App,SME,3,2,28,1863.08,53623.8,1,494,1482,0,50
1/2/2022,Anna Nagar,RD,Branch Visit,SME,3,1,20,1448.02,93480.58,0,499,1497,0,25
1/2/2022,Anna Nagar,Loan,Internet Banking,Retail,2,0,26,570.85,94640.99,0,339,678,2.56,0
1/2/2022,Velachery,Savings,Internet Banking,Retail,3,0,29,1003.88,221839.82,0,872,2616,0,0
1/2/2022,Velachery,Current,Mobile App,Retail,4,0,27,722.38,463348.03,0,402,1608,0,0
1/2/2022,Velachery,FD,Mobile App,SME,5,3,29,1723.44,397832.03,0,681,3405,0,50
1/2/2022,Velachery,RD,Branch Visit,Retail,3,1,22,998.92,199597.19,0,578,1734,0,25
1/2/2022,Velachery,Loan,Branch Visit,Retail,2,0,30,2404.07,450416.65,0,522,1044,1.72,0
1/2/2022,Adyar,Savings,Mobile App,Retail,3,0,22,1585.52,235185.78,1,599,1797,0,0
1/2/2022,Adyar,Current,Branch Visit,SME,4,1,27,429.44,97718.24,0,651,2604,0,20
1/2/2022,Adyar,FD,Branch Visit,Retail,0,0,24,1998.68,291383.31,0,475,0,0,0
1/2/2022,Adyar,RD,Mobile App,Corporate,3,2,22,963.07,274176.39,0,198,594,0,50
1/2/2022,Adyar,Loan,Internet Banking,SME,3,0,29,1524.86,298619.06,0,270,810,4.22,0
1/2/2022,Tambaram,Savings,Mobile App,Retail,6,1,21,1922.58,296189.93,0,755,4530,0,14.29
1/2/2022,Tambaram,Current,Mobile App,Retail,0,0,27,1000.06,54262.01,1,479,0,0,0
1/2/2022,Tambaram,FD,Mobile App,Corporate,4,2,29,1256.22,415537.17,0,548,2192,0,40
1/2/2022,Tambaram,RD,Internet Banking,Corporate,2,1,23,2200.56,341493.36,0,312,624,0,33.33
1/2/2022,Tambaram,Loan,Internet Banking,Corporate,4,1,32,589.84,403783.02,0,802,3208,5.07,20
1/2/2022,Guindy,Savings,Mobile App,Retail,2,0,29,809.36,60154.25,0,222,444,0,0
1/2/2022,Guindy,Current,Internet Banking,SME,0,0,33,1303.64,425680.14,0,441,0,0,0
